Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
ragi,29.56666667,54,233.0,420.0,kharif,50,40,20,5.32,297.66,1.802575107
sesamum,29.56666667,54,914.0,460.0,kharif,30,15,30,6.58,297.66,0.503282276
sunflower,29.56666667,54,45.0,60.0,kharif,50,60,30,5.52,297.66,1.333333333
cotton,29.56666667,54,1877.0,2410.0,kharif,120,40,20,5.34,297.66,1.283963772
jowar,29.56666667,54,1993.0,900.0,kharif,80,40,40,5.54,297.66,0.451580532
moong,29.56666667,54,3623.0,470.0,kharif,20,40,20,5.64,297.66,0.129726746
ragi,29.56666667,54,246.0,610.0,kharif,50,40,20,5.4,297.66,2.479674797
sesamum,29.56666667,54,6841.0,3160.0,kharif,30,15,30,6.6,297.66,0.461920772
sunflower,29.56666667,54,5.0,10.0,kharif,50,60,30,5.48,297.66,2.0
moong,29.56666667,54,3606.0,1490.0,kharif,20,40,20,5.36,297.66,0.413200222
sesamum,29.56666667,54,3061.0,880.0,kharif,30,15,30,6.5,297.66,0.287487749
sunflower,29.56666667,54,512.0,350.0,kharif,50,60,30,5.42,297.66,0.68359375
cotton,29.56666667,54,4092.0,8910.0,kharif,120,40,20,5.42,297.66,2.177419355
moong,29.56666667,54,2949.0,1750.0,kharif,20,40,20,5.54,297.66,0.593421499
ragi,29.56666667,54,286.0,550.0,kharif,50,40,20,5.58,297.66,1.923076923
sesamum,29.56666667,54,1964.0,990.0,kharif,30,15,30,6.44,297.66,0.50407332
sunflower,29.56666667,54,312.0,440.0,kharif,50,60,30,5.42,297.66,1.41025641
jowar,29.56666667,54,12140.0,3820.0,kharif,80,40,40,5.6,297.66,0.314662273
moong,29.56666667,54,4328.0,1830.0,kharif,20,40,20,5.5,297.66,0.422828096
sesamum,29.56666667,54,9336.0,6590.0,kharif,30,15,30,6.58,297.66,0.705869751
sunflower,29.56666667,54,375.0,610.0,kharif,50,60,30,5.54,297.66,1.626666667
cotton,29.56666667,54,171.0,350.0,kharif,120,40,20,5.34,297.66,2.046783626
moong,29.56666667,54,351.0,150.0,kharif,20,40,20,5.64,297.66,0.427350427
