Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
sunflower,23.56,54,360.0,450.0,rabi,50,60,30,5.58,167.38,1.25
wheat,23.56,54,521.0,597.6,rabi,60,30,30,6.6,167.38,1.147024952
coriander,26.73636364,54,260.0,80.0,whole year,10,20,20,6.64,1426.3,0.307692308
garlic,26.73636364,54,590.0,1870.0,whole year,50,10,60,5.68,1426.3,3.169491525
horsegram,28.5,54,1467.0,538.5,kharif,20,60,20,6.02,1145.22,0.367075665
jowar,28.5,54,180.0,60.0,kharif,80,40,40,5.46,1145.22,0.333333333
maize,28.5,54,2.0,1.9,kharif,80,40,20,5.36,1145.22,0.95
ragi,28.5,54,148.0,47.5,kharif,50,40,20,5.5,1145.22,0.320945946
sesamum,28.5,54,224.0,70.1,kharif,30,15,30,6.42,1145.22,0.312946429
rapeseed,23.56,54,53.0,8.4,rabi,50,40,20,4.92,167.38,0.158490566
